"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"3","PA20_PI_0_O2",165.159295,-0.0152950000000001,26.6906666666667,NA,"PA20","P. acuta","20",7,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","low",86.79012346,0.61,-0.00932995000000008,"0",-0.000788124999999892,-0.00854182500000019,-0.354309554752195,NA
"4","PA23_PI_0_O2",133.6434,-0.0213999999999996,26.702,NA,"PA23","P. acuta","23",2,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","low",80.34567901,0.595,-0.0127329999999997,"0",-0.000788124999999892,-0.0119448749999999,-0.535206753242417,NA
"5","PA24_PI_0_O2",173.809236666667,-0.0145700000000002,26.747,NA,"PA24","P. acuta","24",1,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","low",56.86419753,0.615,-0.00896055000000011,"0",-0.000788124999999892,-0.00817242500000021,-0.517385829360894,NA
"6","PA25_PI_0_O2",164.499795,-0.0231949999999989,26.5353333333333,NA,"PA25","P. acuta","25",9,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","low",78.79012346,0.61,-0.0141489499999993,"0",-0.000788124999999892,-0.0133608249999994,-0.610469534603747,NA
"7","PA29_PI_0_O2",151.737933809524,-0.0118385714285721,26.674,NA,"PA29","P. acuta","29",3,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","high",73.72839506,0.6,-0.00710314285714325,"0",-0.000788124999999892,-0.00631501785714336,-0.308348829066673,NA
"8","PA30_PI_0_O2",135.490449047619,-0.0259728571428578,26.662,NA,"PA30","P. acuta","30",6,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","high",72.91358025,0.605,-0.015713578571429,"0",-0.000788124999999892,-0.0149254535714291,-0.73692215733906,NA
"9","PA33_PI_0_O2",173.728337142857,-0.0129085714285719,26.57,NA,"PA33","P. acuta","33",4,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","high",69.58024691,0.61,-0.00787422857142884,"0",-0.000788124999999892,-0.00708610357142894,-0.366626650378815,NA
"10","PA34_PI_0_O2",177.484585,-0.00888500000000022,26.6048333333333,NA,"PA34","P. acuta","34",5,0,26.8,2020-06-25 01:04:00,2020-06-25 01:19:00,"light","high",55.85185185,0.6,-0.00533100000000013,"0",-0.000788124999999892,-0.00454287500000024,-0.29281661141556,NA
"13","PA20_PI_134_O2",145.83257,0.00343000000000009,27.009,NA,"PA20","P. acuta","20",7,134,26.8,2020-06-25 02:28:00,2020-06-25 02:44:00,"light","low",86.79012346,0.61,0.00209230000000006,"0",-0.000770249999999977,0.00286255000000003,0.118736782356919,-1.51988617908122
"14","PA23_PI_134_O2",103.184615,0.00418500000000037,26.996,NA,"PA23","P. acuta","23",2,134,26.8,2020-06-25 02:28:00,2020-06-25 02:44:00,"light","low",80.34567901,0.595,0.00249007500000022,"0",-0.000770249999999977,0.0032603250000002,0.146083400434513,-1.4020847743496
"15","PA24_PI_134_O2",150.717957619048,0.00223285714285682,27.023,NA,"PA24","P. acuta","24",1,134,26.8,2020-06-25 02:28:00,2020-06-25 02:44:00,"light","low",56.86419753,0.615,0.00137320714285695,"0",-0.000770249999999977,0.00214345714285692,0.135699544695306,-1.44519740075466
"16","PA25_PI_134_O2",100.692665,-0.00636499999999982,26.787,NA,"PA25","P. acuta","25",9,134,26.8,2020-06-25 02:28:00,2020-06-25 02:44:00,"light","low",78.79012346,0.61,-0.00388264999999989,"0",-0.000770249999999977,-0.00311239999999991,-0.142208686926199,NA
