"","fragment.ID.full","Intercept","umol.L.sec","Temp.C"
"1","BLANK3_D_20_O2",213.808955211069,-8.30675422134142e-06,20.2361836734694
"2","BLANK4_D_20_O2",217.191845308322,-9.29381735677994e-05,20.0993469387755
"3","PA12_D_20_O2",196.181218976641,-0.0158387764182425,20.0822857142857
"4","PA13_D_20_O2",193.926643031359,-0.0149426829268292,20.1911224489796
"5","PA14_D_20_O2",206.152712423077,-0.0149893461538463,20.0848775510204
"6","PA16_D_20_O2",184.008058188153,-0.0146052264808363,20.1446530612245
"7","PA2_D_20_O2",206.032824653099,-0.00784315448658652,19.9402040816327
"8","PA3_D_20_O2",213.974905866808,-0.0113643385684083,20.1363265306122
"9","PA4_D_20_O2",187.355374062078,-0.0122690688259109,20.216306122449
"10","PA8_D_20_O2",208.465019606731,-0.0135042784215218,20.1385714285714
"11","BLANK3_D_24_O2",205.506702632135,-0.000507494714587785,24.0398163265306
"12","BLANK4_D_24_O2",211.29098407563,-0.00049696078431374,23.9978367346939
"13","PA12_D_24_O2",176.358872655652,-0.0207556844293687,23.9279183673469
"14","PA13_D_24_O2",182.703082473009,-0.0197410425101214,24.0324081632653
"15","PA14_D_24_O2",186.080556758893,-0.0164466139657444,23.7083469387755
"16","PA16_D_24_O2",167.380367585943,-0.0192589533995416,23.7383673469388
"17","PA2_D_24_O2",195.263891890225,-0.011282269503546,23.6644285714286
"18","PA3_D_24_O2",200.558389853145,-0.0138060187326549,23.8339183673469
"19","PA4_D_24_O2",178.381859022837,-0.0156114163372859,24.1337959183673
"20","PA8_D_24_O2",189.749465267355,-0.0188779315196998,23.926387755102
"21","BLANK3_D_28_O2",188.395874733468,-0.000988836032388654,28.0461836734694
"22","BLANK4_D_28_O2",192.681233067227,-0.00118432773109245,28.023387755102
"23","PA12_D_28_O2",139.423917867318,-0.0229064713064713,28.0139795918367
"24","PA13_D_28_O2",160.343727213043,-0.0228909071014334,28.0611632653061
"25","PA14_D_28_O2",172.089560388245,-0.0171826962676962,27.8664081632653
"26","PA16_D_28_O2",159.854533592353,-0.0212811717545482,28.0389183673469
"27","PA2_D_28_O2",166.673872505285,-0.0127436821705426,27.907387755102
"28","PA3_D_28_O2",182.827309235377,-0.0172395384073291,28.0487959183673
"29","PA4_D_28_O2",136.774376381381,-0.0163992471042471,28.1098163265306
"30","PA8_D_28_O2",153.213008442728,-0.0202873359073359,28.0948367346939
"31","BLANK3_D_30_O2",178.95016264383,-0.00146769433465096,30.0498039215686
"32","BLANK4_D_30_O2",182.330865954791,-0.00182857287449391,30.0710784313725
"33","PA12_D_30_O2",161.451858096939,-0.0286109540816327,30.0376078431373
"34","PA13_D_30_O2",162.96366519889,-0.0274766697502313,30.0603137254902
"35","PA14_D_30_O2",171.88435683651,-0.0195410373900292,29.8592941176471
"36","PA16_D_30_O2",156.101498487903,-0.023726310483871,30.0459019607843
"37","PA2_D_30_O2",170.319667937654,-0.0153114823056883,29.8923529411765
"38","PA3_D_30_O2",175.446924448807,-0.0179150860767139,30.0792549019608
"39","PA4_D_30_O2",148.228420426829,-0.0186513836772984,30.1353529411765
"40","PA8_D_30_O2",164.527742192082,-0.022715615835777,30.1078039215686
"41","BLANK3_D_31_O2",172.696960570825,-0.00173858350951377,30.9744489795918
"42","BLANK4_D_31_O2",175.418735161926,-0.00198811279474915,31.05
"43","PA12_D_31_O2",144.618639353321,-0.0293600010942116,30.9414897959184
"44","PA13_D_31_O2",148.844285246289,-0.0274371356275304,30.9866530612245
"45","PA14_D_31_O2",162.200373639359,-0.0215760270642574,30.809
"46","PA16_D_31_O2",136.18179455665,-0.026736921182266,31.0137959183673
"47","PA2_D_31_O2",162.880529908907,-0.0158780870445344,30.8758163265306
"48","PA3_D_31_O2",169.461965220484,-0.0188343527738265,31.0279387755102
"49","PA4_D_31_O2",142.563837491289,-0.0201197212543555,31.1098163265306
"50","PA8_D_31_O2",153.370976102418,-0.0234578473210052,31.0245102040816
"51","BLANK3_D_32_O2",164.827984659091,-0.00222549486803518,32.0949591836735
"52","BLANK4_D_32_O2",168.580787514071,-0.00245374296435274,32.1181020408163
"53","PA12_D_32_O2",136.9132522578,-0.0302541735084838,32.0311632653061
"54","PA13_D_32_O2",146.929117152679,-0.0301190493124704,31.9979387755102
"55","PA14_D_32_O2",156.41911293152,-0.023251299249531,31.7742448979592
"56","PA16_D_32_O2",127.738842684729,-0.0295141133004925,32.0297551020408
"57","PA2_D_32_O2",154.074016557198,-0.0172067597153803,31.844387755102
"58","PA3_D_32_O2",163.091020665025,-0.0202393842364531,32.1628775510204
"59","PA4_D_32_O2",134.542300173664,-0.0219395575354877,32.0184489795918
"60","PA8_D_32_O2",154.703775979592,-0.0268200612244898,32.0600408163265
"61","BLANK3_D_35_O2",146.477778556327,-0.00231253397765023,35.1891428571429
"62","BLANK4_D_35_O2",147.419405826613,-0.00257558467741942,35.191693877551
"63","PA12_D_35_O2",92.3706780735931,-0.0309966883116884,34.8599473684211
"64","PA13_D_35_O2",76.9180813390313,-0.0276678266178266,35.0148367346939
"65","PA14_D_35_O2",98.5168887164735,-0.023046321205737,34.8004489795918
"66","PA16_D_35_O2",90.3472507173913,-0.0266463695652174,34.8831315789474
"67","PA2_D_35_O2",109.344423636364,-0.0167999541634835,34.9733265306122
"68","PA3_D_35_O2",99.1585466324786,-0.0231271452991452,34.9949183673469
"69","PA4_D_35_O2",95.838192,-0.0196361025641025,35.2010408163265
"70","PA8_D_35_O2",90.626867816092,-0.0231658456486043,35.1500816326531
