date,site.name,site,site.block,num.transect ,quadrat,Bare rock,Rubble,Sand,Bare space,Acanthastrea,Acropora  other,Acropora  pulchra,Acropora hyacinthus,Acropora austera,Astreopora,Cyphastrea,Favia,Fungia,Gardineroseris,Heropolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montastraea,Montipora,Pachyseris,Pavona,Pleuractis ,Pocillopora other,Pocillopora.acuta,Pocillopora meandrina,Pocillopora verrucosa,Porites other,Porites lobata,Porites rus,Psammacora,Sandolitha,Stylocoeniella,Tubastrea,CCA,Fleshy algae,Turf algae,Macroalgae,coral.cover,algal.cover,TOTALS
20190624,MAN,B,1,1,20,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,21,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.1,,0,0.15,1
20190624,MAN,B,1,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.1,0.7,0,0.8,1
20190624,MAN,B,1,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.25,,,,,,,,0.1,0.15,,,0.75,0.15,1
20190624,MAN,B,1,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,0.75,,,0.25,0.75,1
20190624,MAN,B,1,2,25,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.05,0.2,,0,0.25,1
20190624,MAN,B,1,2,26,0.48,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,0.1,0.28,0.06,0.38,1
20190624,MAN,B,1,2,27,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,0.3,,0.4,0.3,1
20190624,MAN,B,1,2,28,,,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,0,0,1
20190624,MAN,B,1,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0,1
20190624,MAN,B,1,2,30,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,0.55,0.25,0,0.8,1
20190624,MAN,B,1,2,31,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,0.9,0,1
20190624,MAN,B,1,2,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,33,,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,34,,0.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,35,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,0.15,0,1
20190624,MAN,B,1,2,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,0,1
20190624,MAN,B,1,2,38,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,1,0,1
20190624,MAN,B,1,2,39,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,MAN,B,1,2,40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1
20190624,AH,A,1,1,1,,0.2,0.1,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.1,0.3,1
20190624,AH,A,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,0.2,,,,,0.4,,0.2,0.1,0.3,0.3,1
