"","fragment.ID","site","rate.type","E","Eh","lnc","Th","Topt","site.block","recovery.block","site.letter","Pmax"
"1","PA1_C","A","C",0.0546515664252031,75.3563456974139,0.141070008772658,310.235856684539,36.2920883305214,1,1,"F",0.210834983092431
"2","PA1_D","A","R",0.133136671720139,36.2464260068389,0.499167106975187,312.398451586736,37.9534226886806,1,1,"F",0.693863146945287
"3","PA1_L","A","GP",0.245253274548381,6.12371830660512,0.90469336705515,309.16881763486,31.8027780626114,1,1,"F",1.04479595211237
"4","PA10_C","B","C",0.13611508530976,2.25760011062391,0.155205232166037,314.429545517483,31.2431525485856,1,1,"E",0.183940919541438
"5","PA10_D","B","R",0.125434295093298,35.9180584934176,0.339366389775384,312.541398280428,38.0716058948902,1,1,"E",0.524543464699302
"6","PA10_L","B","GP",0.114040094545344,7.8640869271382,0.653328746656646,309.832724485368,32.3061455644985,1,1,"E",0.730022382478344
"7","PA11_C","B","C",0.220623955342799,1.66691262874153,0.280590300762337,311.576144921608,29.2642116887696,1,1,"E",0.230966917322021
"8","PA11_D","B","R",0.135514540310176,34.3136583841619,0.309166671785122,312.577610771882,38.0760988497277,1,1,"E",0.509120385289755
"9","PA11_L","B","GP",0.121104867219878,8.06713212400111,0.660286712846211,309.809367562947,32.427117434172,1,1,"E",0.743938870450653
"10","PA12_C","B","C",0.185790568269062,1.97782902895885,0.260041333537328,312.23347854366,29.7415037279349,1,2,"E",0.250394594657688
"11","PA12_D","B","R",0.119603437195961,7.4102540235597,0.403970567120508,312.410605184152,34.6628473408715,1,2,"E",0.518231929668792
"12","PA12_L","B","GP",0.301563544807935,2.59598268296542,0.825080683865191,309.979587607487,30.4875257184717,1,2,"E",0.874431215312275
"13","PA13_C","B","C",0.263998880822701,1.15835850394311,0.410495343587459,310.449486285596,28.7882768584797,1,2,"E",0.246385829516685
"14","PA13_D","B","R",0.122160667599824,6.66286434059158,0.392146111879278,312.276337724866,34.184031994393,1,2,"E",0.499792710702902
"15","PA13_L","B","GP",0.324104873855614,2.2183511925441,0.930877546441066,309.09819856597,29.5297975116187,1,2,"E",0.919507934557866
"16","PA14_C","B","C",0.365703684258501,1.0629668977481,0.641340046457478,305.302356063656,27.35113069283,1,2,"E",0.283449072190955
"17","PA14_D","B","R",0.070881728025419,11.6663155204104,0.418490014455911,311.32671838145,34.5685367296801,1,2,"E",0.488936175284251
"18","PA14_L","B","GP",0.213218211255089,3.31881820017358,0.881514589940705,309.741273151839,30.0572922163772,1,2,"E",0.925755948912042
"19","PA16_C","B","C",0.068757781017673,6.14146698289409,0.190107578320137,311.195871820558,32.0719870276806,1,2,"E",0.231893303611092
"20","PA16_D","B","R",0.113237871359233,4.09860874540418,0.372072138119909,313.608999877446,33.2624410079899,1,2,"E",0.448135973526637
"21","PA16_L","B","GP",0.354029455436175,2.14382062843695,0.933743185511771,307.875876616054,28.6712633022427,1,2,"E",0.874761989443413
"22","PA17_C","B","C",0.225643202794611,1.68666641419709,0.282942769706259,311.101616731975,28.9786804426297,1,1,"E",0.225595376160221
"23","PA17_D","B","R",0.109048093545162,34.4602515101573,0.347381876088,312.736380975639,38.1853103236019,1,1,"E",0.509724601277006
"24","PA17_L","B","GP",0.155561267865051,7.92081166143647,0.702768663874827,309.88025621785,32.6970162182321,1,1,"E",0.815027443743451
"25","PA18_C","B","C",0.172722814692968,2.46610950356663,0.200285025249446,311.845507910888,30.1459091164563,1,1,"E",0.219233029062309
"26","PA18_D","B","R",0.10049479422006,5.97597986752172,0.259358756430849,314.548506641659,35.6974225316035,1,1,"E",0.364764980308679
"27","PA18_L","B","GP",0.0794189613258628,7.03784861034924,0.585769663889501,309.773060185699,31.4536350717413,1,1,"E",0.629562503229434
"28","PA19_C","B","C",0.272501173343256,1.55097305129461,0.457104622989569,309.719832655714,28.5422772641417,2,2,"D",0.352936997765592
"29","PA19_D","B","R",0.174612993604382,1.89382994498663,0.453146962627523,315.502284233771,32.3196958665943,2,2,"D",0.496505070115981
"30","PA19_L","B","GP",0.297966026581878,3.11628254183658,1.07094917555898,308.52766899835,29.5727473890064,2,2,"D",1.10682089505732
"31","PA2_C","A","C",0.00168020442422456,56.4272501297334,0.18289573162747,307.998498936388,33.3455910208867,1,2,"F",0.184427549547579
"32","PA2_D","A","R",0.160077608095314,5.51846944097463,0.520570855683332,312.069482092586,33.6687124952205,1,2,"F",0.646292477091648
"33","PA2_L","A","GP",0.367733182918598,2.8154832993385,1.07596550358207,308.863561344494,30.274662438413,1,2,"F",1.13690434896648
"34","PA20_C","B","C",0.145361268337219,1.95804991010704,0.193934710889491,312.871120619617,29.2123196145689,2,2,"D",0.176685367808281
"35","PA20_D","B","R",0.172427443770702,1.92584231350761,0.458998520856447,316.181664718137,32.9832200077329,2,2,"D",0.517730363284586
"36","PA20_L","B","GP",0.198726715196371,3.71773008455437,0.827096926442518,310.120168703316,30.6911304770579,2,2,"D",0.891146100552309
"37","PA21_C","B","C",0.213445804506785,1.69603336933767,0.330347135307727,310.75249103543,28.3725857554652,2,1,"D",0.260975689444579
"38","PA21_D","B","R",0.150119136953216,1.55221887686477,0.429554561198762,316.37779665401,31.2773306534747,2,1,"D",0.428758469992109
"39","PA21_L","B","GP",0.103661896403105,5.55066047296782,0.761155654850312,309.876036106968,30.9288558659735,2,1,"D",0.807463721689003
"40","PA22_C","B","C",0.168768345290792,1.30016349150764,0.256576010794294,313.60359809361,28.5195572692896,2,1,"D",0.172199750801206
