,individual.ID,temp.Cat,site,Temp.C,umol.cm2.hr,rate.type,light_dark,fragment.ID,site.block,recovery.block
1,PA1,20,A,20.17070115,0.103469672,C,light,PA1_C,1,1
2,PA10,20,B,20.37197126,0.089403897,C,light,PA10_C,1,1
3,PA11,20,B,20.09817816,0.068391569,C,light,PA11_C,1,1
4,PA17,20,B,20.06635632,0.07609034,C,light,PA17_C,1,1
5,PA18,20,B,20.02918966,0.051276512,C,light,PA18_C,1,1
6,PA5,20,A,19.89886286,0.001277602,C,light,PA5_C,1,1
7,PA7,20,A,19.99338506,0,C,light,PA7_C,1,1
8,PA9,20,A,20.10325434,0.064002876,C,light,PA9_C,1,1
9,PA1,24,A,24.10565497,0.126331995,C,light,PA1_C,1,1
10,PA10,24,B,24.21588304,0,C,light,PA10_C,1,1
11,PA11,24,B,24.15376608,0.168050931,C,light,PA11_C,1,1
12,PA17,24,B,24.21316959,0.134569915,C,light,PA17_C,1,1
13,PA18,24,B,24.07412281,0.136342991,C,light,PA18_C,1,1
14,PA5,24,A,24.01360819,0.13642489,C,light,PA5_C,1,1
15,PA7,24,A,24.1205614,0.140356428,C,light,PA7_C,1,1
16,PA9,24,A,24.14092982,0.148460867,C,light,PA9_C,1,1
17,PA1,28,A,28.06407558,0.162492072,C,light,PA1_C,1,1
18,PA10,28,B,28.19164912,0.184176098,C,light,PA10_C,1,1
19,PA11,28,B,28.12794186,0.209055578,C,light,PA11_C,1,1
20,PA17,28,B,28.13406977,0.218900725,C,light,PA17_C,1,1
21,PA18,28,B,27.95438372,0.181962957,C,light,PA18_C,1,1
22,PA5,28,A,27.92143275,0.149447457,C,light,PA5_C,1,1
23,PA7,28,A,28.07990698,0.214474814,C,light,PA7_C,1,1
24,PA9,28,A,28.08526163,0.178356853,C,light,PA9_C,1,1
25,PA1,30,A,29.95663584,0.184738542,C,light,PA1_C,1,1
26,PA10,30,B,30.03583815,0.226324934,C,light,PA10_C,1,1
27,PA11,30,B,30.02431214,0.248334375,C,light,PA11_C,1,1
28,PA17,30,B,30.13262428,0.239832382,C,light,PA17_C,1,1
29,PA18,30,B,29.85708671,0.169745193,C,light,PA18_C,1,1
30,PA5,30,A,29.94267052,0.16026898,C,light,PA5_C,1,1
31,PA7,30,A,30.10497688,0.132823553,C,light,PA7_C,1,1
32,PA9,30,A,30.09991908,0.228264888,C,light,PA9_C,1,1
33,PA1,31,A,31.00836047,0.19301192,C,light,PA1_C,1,1
34,PA10,31,B,31.10415698,0.224190899,C,light,PA10_C,1,1
35,PA11,31,B,31.08597093,0.236342029,C,light,PA11_C,1,1
36,PA17,31,B,31.07215116,0.239064893,C,light,PA17_C,1,1
37,PA18,31,B,30.86296512,0.204536755,C,light,PA18_C,1,1
38,PA5,31,A,30.84476163,0.155229467,C,light,PA5_C,1,1
39,PA7,31,A,31.01393023,0.139170104,C,light,PA7_C,1,1
40,PA9,31,A,31.03061047,0.196269378,C,light,PA9_C,1,1
41,PA1,32,A,31.97011765,0.150124078,C,light,PA1_C,1,1
42,PA10,32,B,32.07291228,0.188607328,C,light,PA10_C,1,1
43,PA11,32,B,32.02361176,0.190444502,C,light,PA11_C,1,1
