"","individual.ID","temp.Cat","site","Temp.C","umol.cm2.hr","rate.type","light_dark","fragment.ID","site.block","recovery.block","site.letter"
"1","PA12",20,"B",20.08228571,0.345810299,"R","dark","PA12_D",1,2,"E"
"2","PA13",20,"B",20.19112245,0.3276489,"R","dark","PA13_D",1,2,"E"
"3","PA14",20,"B",20.08487755,0.445672401,"R","dark","PA14_D",1,2,"E"
"4","PA16",20,"B",20.14465306,0.312391412,"R","dark","PA16_D",1,2,"E"
"5","PA2",20,"A",19.94020408,0.440878079,"R","dark","PA2_D",1,2,"F"
"6","PA3",20,"A",20.13632653,0.626907994,"R","dark","PA3_D",1,2,"F"
"7","PA4",20,"A",20.21630612,0.34237076,"R","dark","PA4_D",1,2,"F"
"8","PA8",20,"A",20.13857143,0.398867075,"R","dark","PA8_D",1,2,"F"
"9","PA12",24,"B",23.92791837,0.445619902,"R","dark","PA12_D",1,2,"E"
"10","PA13",24,"B",24.03240816,0.425551818,"R","dark","PA13_D",1,2,"E"
"11","PA14",24,"B",23.70834694,0.476060417,"R","dark","PA14_D",1,2,"E"
"12","PA16",24,"B",23.73836735,0.404832666,"R","dark","PA16_D",1,2,"E"
"13","PA2",24,"A",23.66442857,0.617826274,"R","dark","PA2_D",1,2,"F"
"14","PA3",24,"A",23.83391837,0.741016127,"R","dark","PA3_D",1,2,"F"
"15","PA4",24,"A",24.13379592,0.425347342,"R","dark","PA4_D",1,2,"F"
"16","PA8",24,"A",23.92638776,0.547576408,"R","dark","PA8_D",1,2,"F"
"17","PA12",28,"B",28.01397959,0.482735122,"R","dark","PA12_D",1,2,"E"
"18","PA13",28,"B",28.06116327,0.48557961,"R","dark","PA13_D",1,2,"E"
"19","PA14",28,"B",27.86640816,0.483285338,"R","dark","PA14_D",1,2,"E"
"20","PA16",28,"B",28.03891837,0.438758951,"R","dark","PA16_D",1,2,"E"
"21","PA2",28,"A",27.90738776,0.676134934,"R","dark","PA2_D",1,2,"F"
"22","PA3",28,"A",28.04879592,0.909579173,"R","dark","PA3_D",1,2,"F"
"23","PA4",28,"A",28.10981633,0.433658023,"R","dark","PA4_D",1,2,"F"
"24","PA8",28,"A",28.09483673,0.574347593,"R","dark","PA8_D",1,2,"F"
"25","PA12",30,"B",30.03760784,0.599878257,"R","dark","PA12_D",1,2,"E"
"26","PA13",30,"B",30.06031373,0.578430535,"R","dark","PA13_D",1,2,"E"
"27","PA14",30,"B",29.85929412,0.540777266,"R","dark","PA14_D",1,2,"E"
"28","PA16",30,"B",30.04590196,0.482491894,"R","dark","PA16_D",1,2,"E"
"29","PA2",30,"A",29.89235294,0.801042221,"R","dark","PA2_D",1,2,"F"
"30","PA3",30,"A",30.0792549,0.922356906,"R","dark","PA3_D",1,2,"F"
"31","PA4",30,"A",30.13535294,0.484871712,"R","dark","PA4_D",1,2,"F"
"32","PA8",30,"A",30.10780392,0.632963357,"R","dark","PA8_D",1,2,"F"
"33","PA12",31,"B",30.9414898,0.608779281,"R","dark","PA12_D",1,2,"E"
"34","PA13",31,"B",30.98665306,0.56984134,"R","dark","PA13_D",1,2,"E"
"35","PA14",31,"B",30.809,0.591974314,"R","dark","PA14_D",1,2,"E"
"36","PA16",31,"B",31.01379592,0.541072536,"R","dark","PA16_D",1,2,"E"
"37","PA2",31,"A",30.87581633,0.814558504,"R","dark","PA2_D",1,2,"F"
"38","PA3",31,"A",31.02793878,0.955373746,"R","dark","PA3_D",1,2,"F"
"39","PA4",31,"A",31.10981633,0.516882145,"R","dark","PA4_D",1,2,"F"
"40","PA8",31,"A",31.0245102,0.644024318,"R","dark","PA8_D",1,2,"F"
"41","PA12",32,"B",32.03116327,0.618397345,"R","dark","PA12_D",1,2,"E"
"42","PA13",32,"B",31.99793878,0.619943209,"R","dark","PA13_D",1,2,"E"
"43","PA14",32,"B",31.7742449,0.628690122,"R","dark","PA14_D",1,2,"E"
"44","PA16",32,"B",32.0297551,0.59213214,"R","dark","PA16_D",1,2,"E"
"45","PA2",32,"A",31.84438776,0.866574923,"R","dark","PA2_D",1,2,"F"
"46","PA3",32,"A",32.16287755,1.009833612,"R","dark","PA3_D",1,2,"F"
"47","PA4",32,"A",32.01844898,0.555705314,"R","dark","PA4_D",1,2,"F"
"48","PA8",32,"A",32.06004082,0.731144593,"R","dark","PA8_D",1,2,"F"
"49","PA12",35,"B",34.85994737,0.633965417,"R","dark","PA12_D",1,2,"E"
