fragment.ID,date,light_dark,temp.Cat,mV,Tin,salinity.insitu,salinity.lab,temp.InSitu,TA,Sample.Type,
PA18_L,20190626,light,31,-66.2,28.675,36.34,37.21,26.8,2265.51478,Sample,
BLANK1_L,20190626,light,31,-59.5,28.212,36.2,37.15,26.8,2345.89696,Blank,
BLANK2_L,20190626,light,31,-63.2,28.673,36.62,37.13,26.8,2348.74986,Blank,
I1,20190626,light,32,-61.6,31.7035,36.75,37.29,26.8,2339.932905,Initial,
PA1_L,20190626,light,32,-68,29.732,36.78,37.35,26.8,2299.45516,Sample,
PA5_L,20190626,light,32,-68.1,30.441,36.57,37.41,26.8,2245.7814,Sample,
PA7_L,20190626,light,32,-68.9,30.393,36.77,37.41,26.8,2275.54497,Sample,
PA9_L,20190626,light,32,-67.4,29.704,36.75,37.38,26.8,2276.6186,Sample,
PA10_L,20190626,light,32,-65.6,29.296,36.71,37.39,26.8,2263.60055,Sample,
PA11_L,20190626,light,32,-65.9,29.901,36.8,37.4,26.8,2273.06725,Sample,
PA17_L,20190626,light,32,-68.1,29.628,36.68,37.36,26.8,2228.30006,Sample,
PA18_L,20190626,light,32,-65.4,29.343,36.73,37.4,26.8,2174.73163,Sample,
BLANK1_L,20190626,light,32,-62.5,29.497,36.68,37.3,26.8,2338.57128,Blank,
BLANK2_L,20190626,light,32,-59.9,29.405,36.36,37.36,26.8,2343.46579,Blank,
I1,20190626,light,35,-58.45,33.8565,37.04,37.465,26.8,2343.75291,Initial,
PA1_L,20190626,light,35,-62.8,31.831,37.02,37.56,26.8,2251.53308,Sample,
PA5_L,20190626,light,35,-65.1,32.457,36.89,37.52,26.8,2223.99102,Sample,
PA7_L,20190626,light,35,-67,31.761,36.86,37.53,26.8,2325.50742,Sample,
PA9_L,20190626,light,35,-63.8,32.142,36.83,37.5,26.8,2299.59417,Sample,
PA10_L,20190626,light,35,-62,32.634,36.84,37.59,26.8,2307.93025,Sample,
PA11_L,20190626,light,35,-62.3,32.233,36.93,37.55,26.8,2299.66179,Sample,
PA17_L,20190626,light,35,-58.1,31.818,36.76,37.51,26.8,2314.73744,Sample,
PA18_L,20190626,light,35,-61,32.038,36.81,37.55,26.8,2332.38442,Sample,
BLANK1_L,20190626,light,35,-66.7,32.071,36.77,37.51,26.8,2343.8686,Blank,
I1,20190626,light,37,-56.16666667,36.176,37.16,37.46666667,26.8,2349.105113,Initial,
PA1_L,20190626,light,37,-56.3,32.069,37.01,37.56,26.8,2312.69048,Sample,
PA5_L,20190626,light,37,-52.9,32.962,37.14,37.54,26.8,2323.11366,Sample,
PA7_L,20190626,light,37,-57,32.362,37.19,37.59,26.8,2342.98207,Sample,
PA9_L,20190626,light,37,-53.4,32.538,37.05,37.58,26.8,2253.60399,Sample,
PA10_L,20190626,light,37,-51.1,33.719,37.18,37.6,26.8,2307.56657,Sample,
PA11_L,20190626,light,37,-54.5,31.998,37.39,37.59,26.8,2347.30126,Sample,
PA17_L,20190626,light,37,-56.3,33.292,37.19,37.56,26.8,2352.57387,Sample,
PA18_L,20190626,light,37,-52.8,33.436,37.23,37.61,26.8,2347.33603,Sample,
BLANK1_L,20190626,light,37,-53.2,33.014,37.05,37.65,26.8,2351.1581,Blank,
I1,20190702,light,20,-66.86666667,20.31366667,36.16333333,36.96666667,26.8,2334.71621,Initial,
PA2_L,20190702,light,20,-71.8,21.504,35.84,36.99,26.8,2309.03501,Sample,
PA3_L,20190702,light,20,-72.7,21.176,36.43,37.02,26.8,2296.24673,Sample,
PA4_L,20190702,light,20,-77.1,21.18,36.37,37.02,26.8,2298.82989,Sample,
PA8_L,20190702,light,20,-76,21.038,36.38,37.02,26.8,2300.9258,Sample,
PA12_L,20190702,light,20,-76.4,21.42,36.39,37.03,26.8,2264.20798,Sample,
PA13_L,20190702,light,20,-76.2,20.998,36.37,36.96,26.8,2281.01503,Sample,
PA14_L,20190702,light,20,-73.1,21.193,36.33,36.98,26.8,2274.90765,Sample,
PA16_L,20190702,light,20,-74.3,21.474,36.3,37,26.8,2288.85255,Sample,
BLANK3_L,20190702,light,20,-66,20.785,36.11,36.99,26.8,2339.48348,Blank,
I1,20190702,light,24,-65.83333333,23.56233333,36.46666667,36.82666667,26.8,2340.474833,Initial,
PA2_L,20190702,light,24,-69,23.521,36.54,36.83,26.8,2316.55843,Sample,
PA3_L,20190702,light,24,-74.4,23.731,36.62,36.88,26.8,2277.95041,Sample,
PA4_L,20190702,light,24,-76.1,23.692,36.57,36.85,26.8,2285.33877,Sample,
PA8_L,20190702,light,24,-76.3,23.585,36.55,36.87,26.8,2289.17247,Sample,
PA12_L,20190702,light,24,-69.5,23.591,36.28,36.88,26.8,2227.73083,Sample,
PA13_L,20190702,light,24,-75.7,23.448,36.39,36.71,26.8,2252.55918,Sample,
PA14_L,20190702,light,24,-71.5,23.523,36.54,36.89,26.8,2257.91269,Sample,
PA16_L,20190702,light,24,-71.8,23.52,36.54,36.86,26.8,2244.17575,Sample,
BLANK3_L,20190702,light,24,-67.1,23.591,36.55,36.85,26.8,2345.75795,Blank,
BLANK4_L,20190702,light,24,-65.5,23.316,36.52,36.84,26.8,2349.24173,Blank,
I1,20190702,light,28,-65.15,27.896,36.82,36.865,26.8,2340.894705,Initial,
PA2_L,20190702,light,28,-68.4,25.834,36.71,37.22,26.8,2323.13905,Sample,
PA3_L,20190702,light,28,-71.4,26.851,36.63,37.25,26.8,2257.21172,Sample,
PA4_L,20190702,light,28,-72.7,26.668,36.64,37.25,26.8,2270.88338,Sample,
PA8_L,20190702,light,28,-72.5,26.718,36.23,37.23,26.8,2274.58334,Sample,
PA12_L,20190702,light,28,-72.5,25.94,36.57,37.23,26.8,2170.81408,Sample,
PA13_L,20190702,light,28,-73.6,26.572,36.62,37.21,26.8,2223.34369,Sample,
PA14_L,20190702,light,28,-70.4,26.114,36.73,37.37,26.8,2237.60031,Sample,
PA16_L,20190702,light,28,-71.8,26.177,36.65,37.25,26.8,2233.13672,Sample,
BLANK4_L,20190702,light,28,-63.2,26.639,36.64,37.25,26.8,2343.35879,Blank,
I1,20190702,light,30,-64.46666667,29.33966667,37.02666667,37.43,26.8,2344.450943,Initial,
PA2_L,20190702,light,30,-70.6,27.211,36.78,37.32,26.8,2322.5343,Sample,
PA3_L,20190702,light,30,-74.2,28.436,36.76,37.4,26.8,2244.4958,Sample,
PA4_L,20190702,light,30,-75.3,28.228,36.49,37.38,26.8,2258.432913,Sample,
PA8_L,20190702,light,30,-76.3,28.064,36.73,37.25,26.8,2255.93395,Sample,
PA12_L,20190702,light,30,-73.4,27.518,36.71,37.42,26.8,2135.66619,Sample,
PA13_L,20190702,light,30,-73.8,27.748,36.73,37.36,26.8,2210.03882,Sample,
PA14_L,20190702,light,30,-71.4,27.134,36.73,37.41,26.8,2239.90336,Sample,
PA16_L,20190702,light,30,-71.7,27.287,36.78,37.31,26.8,2229.41767,Sample,
BLANK3_L,20190702,light,30,-65,27.293,36.52,37.35,26.8,2347.38161,Blank,
BLANK4_L,20190702,light,30,-64.4,28.256,36.73,37.24,26.8,2345.11291,Blank,
I1,20190702,light,31,-63.6,30.2915,36.92,37.665,26.8,2339.334895,Initial,
PA2_L,20190702,light,31,-69.3,27.812,36.81,37.4,26.8,2312.61427,Sample,
PA3_L,20190702,light,31,-72.5,29.132,36.79,37.43,26.8,2248.04562,Sample,
PA4_L,20190702,light,31,-73.3,29.628,36.85,37.42,26.8,2262.90844,Sample,
PA8_L,20190702,light,31,-70.9,29.078,36.52,37.43,26.8,2269.64167,Sample,
PA12_L,20190702,light,31,-69,28.769,36.97,37.49,26.8,2143.53156,Sample,
PA13_L,20190702,light,31,-73.9,29.164,36.75,37.45,26.8,2200.18616,Sample,
PA14_L,20190702,light,31,-68.8,28.254,36.93,37.54,26.8,2247.22332,Sample,
PA16_L,20190702,light,31,-70.4,28.221,36.84,37.43,26.8,2226.88141,Sample,
BLANK3_L,20190702,light,31,-64.6,28.556,36.84,37.44,26.8,2346.5811,Blank,
BLANK4_L,20190702,light,31,-63.4,29.582,36.86,37.37,26.8,2347.33027,Blank,
I1,20190702,light,32,-61.1,34.21,36.58,37.81,26.8,2333.30983,Initial,
PA2_L,20190702,light,32,-67.9,27.725,37.01,37.17,26.8,2317.15989,Sample,
PA3_L,20190702,light,32,-71.2,29.874,36.92,37.75,26.8,2262.214181,Sample,
PA4_L,20190702,light,32,-69.7,29.726,36.3,37.69,26.8,2286.82852,Sample,
PA8_L,20190702,light,32,-69.8,29.634,36.85,37.72,26.8,2295.75472,Sample,
PA12_L,20190702,light,32,-72,27.944,36.96,37.8,26.8,2163.15972,Sample,
PA13_L,20190702,light,32,-72.1,29.188,36.97,37.8,26.8,2220.62275,Sample,
PA14_L,20190702,light,32,-69.4,28.717,36.9,37.81,26.8,2258.84201,Sample,
PA16_L,20190702,light,32,-68.7,28.509,36.87,37.71,26.8,2256.78342,Sample,
BLANK3_L,20190702,light,32,-63.1,28.434,36.99,37.53,26.8,2355.74638,Blank,
BLANK4_L,20190702,light,32,-63,30.013,36.99,37.72,26.8,2347.63261,Blank,
I1,20190702,light,35,-61.15,34.11,37.075,37.76,26.8,2342.4187,Initial,
PA2_L,20190702,light,35,-66,30.786,36.97,37.83,26.8,2335.66645,Sample,
PA3_L,20190702,light,35,-60.9,31.834,36.51,37.78,26.8,2323.17525,Sample,
PA4_L,20190702,light,35,-67.6,31.403,36.93,37.75,26.8,2318.83827,Sample,
PA8_L,20190702,light,35,-67.3,31.575,36.88,37.72,26.8,2332.31964,Sample,
PA12_L,20190702,light,35,-69.2,30.829,37.05,37.85,26.8,2268.41925,Sample,
PA13_L,20190702,light,35,-67.4,31.551,36.88,37.71,26.8,2296.88081,Sample,
PA14_L,20190702,light,35,-67.2,30.543,37.09,37.93,26.8,2326.27714,Sample,
PA16_L,20190702,light,35,-66.2,30.758,36.93,37.8,26.8,2250.091473,Sample,
BLANK3_L,20190702,light,35,-62.1,30.912,36.88,37.7,26.8,2351.90032,Blank,
BLANK4_L,20190702,light,35,-62,32.21,36.91,37.77,26.8,2350.694,Blank,
I1,20190702,light,37,-59.3,35.592,37.4,37.8,26.8,2350.087405,Initial,
PA2_L,20190702,light,37,-58.2,31.808,37.29,37.55,26.8,2286.86652,Sample,
PA3_L,20190702,light,37,-54.6,33.472,37.02,37.57,26.8,2366.48895,Sample,
PA4_L,20190702,light,37,-58.1,32.734,36.73,37.42,26.8,2341.72716,Sample,
PA8_L,20190702,light,37,-61.3,31.104,36.34,37.86,26.8,2348.0301,Sample,
PA12_L,20190702,light,37,-63,31.573,36.87,37.61,26.8,2330.58096,Sample,
PA13_L,20190702,light,37,-64.8,31.43,36.63,37.54,26.8,2315.711,Sample,
PA14_L,20190702,light,37,-59.5,31.579,37.03,37.61,26.8,2332.35401,Sample,
PA16_L,20190702,light,37,-59.9,32.04,37.1,37.65,26.8,2363.96125,Sample,
BLANK3_L,20190702,light,37,-57.4,31.892,36.91,37.59,26.8,2363.70111,Blank,
BLANK4_L,20190702,light,37,-57.1,33.349,36.88,37.53,26.8,2362.01546,Blank,
I1,20190707,light,20,-68.16666667,21.734,36.87666667,37.05333333,26.8,2353.914647,Initial,
PA21_L,20190707,light,20,-74.9,21.071,36.9,37.07,26.8,2285.82444,Sample,
PA22_L,20190707,light,20,-73.4,21.178,36.87,37.05,26.8,2303.9761,Sample,
PA26_L,20190707,light,20,-71.5,21.092,36.94,37.08,26.8,2338.69558,Sample,
PA27_L,20190707,light,20,-72.5,21.619,36.42,37.1,26.8,2319.61086,Sample,
PA30_L,20190707,light,20,-76,21.322,36.98,37.09,26.8,2322.92377,Sample,
PA33_L,20190707,light,20,-75.8,21.366,36.73,36.99,26.8,2321.69301,Sample,
PA34_L,20190707,light,20,-75.6,21.114,36.96,37.08,26.8,2316.93853,Sample,
PA36_L,20190707,light,20,-73.5,21.233,36.97,37.08,26.8,2333.01878,Sample,
BLANK5_L,20190707,light,20,-69.8,20.871,36.88,37.07,26.8,2346.09276,Blank,
BLANK6_L,20190707,light,20,-70.1,21.157,36.29,36.94,26.8,2338.69558,Blank,
I1,20190707,light,24,-66.73333333,23.97133333,36.96,37.16333333,26.8,2352.230687,Initial,
PA21_L,20190707,light,24,-70.5,23.873,37.12,37.22,26.8,2263.74154,Sample,
PA22_L,20190707,light,24,-67.9,23.72,37.1,37.21,26.8,2306.11926,Sample,
PA26_L,20190707,light,24,-68.5,23.89,37.18,37.2,26.8,2317.19123,Sample,
PA27_L,20190707,light,24,-68.2,23.869,37.12,37.2,26.8,2267.42748,Sample,
PA30_L,20190707,light,24,-73.7,23.962,37.17,37.21,26.8,2295.72133,Sample,
PA33_L,20190707,light,24,-73.6,23.922,37.17,37.2,26.8,2293.59023,Sample,
PA34_L,20190707,light,24,-72.7,23.709,36.94,37.21,26.8,2274.38098,Sample,
PA36_L,20190707,light,24,-70.2,23.823,37.15,37.2,26.8,2305.02964,Sample,
BLANK5_L,20190707,light,24,-66.7,23.857,36.69,37.29,26.8,2355.13183,Blank,
I1,20190707,light,28,-64.5,27.976,37.16,37.2,26.8,2347.6064,Initial,
PA21_L,20190707,light,28,-68.3,26.862,37.16,37.29,26.8,2261.84743,Sample,
PA22_L,20190707,light,28,-66.7,26.445,37.22,37.53,26.8,2289.82801,Sample,
PA26_L,20190707,light,28,-67.4,26.009,37.2,37.52,26.8,2309.97628,Sample,
PA27_L,20190707,light,28,-67.9,26.771,37.17,37.45,26.8,2253.89375,Sample,
PA30_L,20190707,light,28,-73.2,27.058,37.36,37.49,26.8,2272.30107,Sample,
PA33_L,20190707,light,28,-71.5,26.728,37.21,37.5,26.8,2287.81341,Sample,
PA34_L,20190707,light,28,-70.2,26.594,37.16,37.46,26.8,2267.2123,Sample,
PA36_L,20190707,light,28,-68.5,26.172,36.89,37.45,26.8,2301.81033,Sample,
BLANK5_L,20190707,light,28,-65,26.62,37.19,37.29,26.8,2356.00452,Blank,
BLANK6_L,20190707,light,28,-65,26.727,37.27,37.27,26.8,2356.33342,Blank,
I1,20190707,light,30,-62.7,29.9605,37.33,37.44,26.8,2343.621115,Initial,
PA21_L,20190707,light,30,-68.8,27.815,37.18,37.54,26.8,2218.91706,Sample,
PA22_L,20190707,light,30,-66.4,27.476,36.87,37.5,26.8,2282.65821,Sample,
PA26_L,20190707,light,30,-68.2,27.816,37.36,37.54,26.8,2300.69225,Sample,
PA27_L,20190707,light,30,-69.3,27.785,37.24,37.53,26.8,2213.40575,Sample,
PA30_L,20190707,light,30,-72.1,28.349,37.33,37.56,26.8,2248.16201,Sample,
PA33_L,20190707,light,30,-72.5,28.292,37.34,37.54,26.8,2261.44303,Sample,
PA34_L,20190707,light,30,-70.1,27.683,37.2,37.5,26.8,2185.64782,Sample,
PA36_L,20190707,light,30,-69.6,27.623,37.18,37.49,26.8,2254.32617,Sample,
BLANK5_L,20190707,light,30,-64.3,28.245,37.43,37.53,26.8,2359.68139,Blank,
BLANK6_L,20190707,light,30,-63.6,27.984,37.31,37.53,26.8,2360.6156,Blank,
I1,20190707,light,31,-63.73333333,30.75166667,37.30333333,37.53,26.8,2352.35171,Initial,
PA21_L,20190707,light,31,-69.9,29.02,37.28,37.45,26.8,2247.02308,Sample,
PA22_L,20190707,light,31,-65.4,28.278,37.29,37.54,26.8,2279.28446,Sample,
PA26_L,20190707,light,31,-68.4,28.621,37.28,37.55,26.8,2296.32498,Sample,
PA27_L,20190707,light,31,-69.2,28.606,37.13,37.52,26.8,2215.17346,Sample,
PA30_L,20190707,light,31,-72.7,28.862,37.78,37.56,26.8,2261.89463,Sample,
PA33_L,20190707,light,31,-72.1,29.062,37.53,37.55,26.8,2273.96297,Sample,
PA34_L,20190707,light,31,-71.1,28.541,37.39,37.69,26.8,2258.68859,Sample,
PA36_L,20190707,light,31,-70.4,28.377,37.28,37.56,26.8,2292.79627,Sample,
BLANK5_L,20190707,light,31,-64.3,29.47,37.38,37.56,26.8,2359.58636,Blank,
BLANK6_L,20190707,light,31,-65,29.07,37.29,37.56,26.8,2354.21762,Blank,
I1,20190707,light,32,-62.8,31.689,37.585,37.55,26.8,2349.548185,Initial,
PA21_L,20190707,light,32,-65.8,30.874,37.09,37.62,26.8,2268.00358,Sample,
PA22_L,20190707,light,32,-67.5,29.603,37.39,37.51,26.8,2287.47392,Sample,
PA26_L,20190707,light,32,-67.1,29.351,37.45,37.58,26.8,2251.89956,Sample,
PA27_L,20190707,light,32,-68,29.905,37.41,37.52,26.8,2275.11853,Sample,
PA30_L,20190707,light,32,-70.5,29.807,37.47,37.58,26.8,2279.5304,Sample,
PA33_L,20190707,light,32,-71.4,30.365,37.44,37.56,26.8,2284.94684,Sample,
PA34_L,20190707,light,32,-69.5,29.281,37.38,37.51,26.8,2264.74934,Sample,
PA36_L,20190707,light,32,-68.1,30.091,37.4,37.5,26.8,2302.29259,Sample,
BLANK5_L,20190707,light,32,-63.7,30.39,37.59,37.64,26.8,2359.32609,Blank,
I1,20190707,light,35,-61.9,35.041,37.91,37.62,26.8,2352.5324,Initial,
PA21_L,20190707,light,35,-63.7,32.037,37.49,37.61,26.8,2330.16127,Sample,
PA22_L,20190707,light,35,-65.6,30.16,37.06,37.6,26.8,2350.5481,Sample,
PA26_L,20190707,light,35,-64.8,30.806,37.54,37.59,26.8,2347.99206,Sample,
PA27_L,20190707,light,35,-66.5,31.621,37.41,37.6,26.8,2250.72719,Sample,
PA30_L,20190707,light,35,-67.8,31.791,37.67,37.65,26.8,2244.53293,Sample,
PA33_L,20190707,light,35,-69.4,31.801,37.59,37.64,26.8,2333.05163,Sample,
PA34_L,20190707,light,35,-67,31.698,37.48,37.6,26.8,2340.91077,Sample,
PA36_L,20190707,light,35,-67.5,30.968,37.35,37.6,26.8,2351.59893,Sample,
BLANK5_L,20190707,light,35,-62.7,32.991,37.86,37.58,26.8,2360.14421,Blank,
I1,20190707,light,37,-59.36666667,36.41733333,37.53666667,37.61,26.8,2354.132783,Initial,
PA21_L,20190707,light,37,-56.8,30.22,37.6,37.84,26.8,2368.98846,Sample,
PA22_L,20190707,light,37,-60.7,29.108,37.03,37.81,26.8,2351.55652,Sample,
PA26_L,20190707,light,37,-59.8,28.524,37.64,37.85,26.8,2366.16177,Sample,
PA27_L,20190707,light,37,-59.9,30.861,37.64,37.75,26.8,2364.29871,Sample,
PA30_L,20190707,light,37,-60.2,30.334,37.86,37.81,26.8,2370.55897,Sample,
PA33_L,20190707,light,37,-63.3,29.823,37.73,37.82,26.8,2352.99413,Sample,
PA34_L,20190707,light,37,-62.5,30.319,37.58,37.75,26.8,2352.13856,Sample,
PA36_L,20190707,light,37,-62.2,30.491,37.77,37.06,26.8,2374.97314,Sample,
BLANK6_L,20190707,light,37,-60.9,31.051,37.87,37.89,26.8,2365.75855,Blank,
I1,20190713,light,20,-66.33333333,20.27033333,36.71666667,37.19666667,26.8,2353.021637,Initial,
PA19_L,20190713,light,20,-73.4,20.895,37.12,37.19,26.8,2294.67035,Sample,
PA20_L,20190713,light,20,-72.7,20.825,37.06,37.2,26.8,2330.73325,Sample,
PA23_L,20190713,light,20,-73.6,20.821,37.07,37.18,26.8,2320.43208,Sample,
PA25_L,20190713,light,20,-71.2,20.822,36.65,37.15,26.8,2323.98268,Sample,
PA29_L,20190713,light,20,-76.4,20.877,37.15,37.19,26.8,2230.28571,Sample,
PA31_L,20190713,light,20,-75.5,20.861,37.07,37.2,26.8,2295.09449,Sample,
PA32_L,20190713,light,20,-68.7,20.714,36.53,37.09,26.8,2291.50027,Sample,
PA35_L,20190713,light,20,-75.7,20.852,37.16,37.21,26.8,2304.16796,Sample,
BLANK7_L,20190713,light,20,-68.1,20.745,37.12,37.19,26.8,2352.56082,Blank,
BLANK8_L,20190713,light,20,-66.3,20.72,37.11,37.17,26.8,2354.55705,Blank,
I1,20190713,light,24,-64.96666667,23.917,37.11,37.25333333,26.8,2355.054807,Initial,
PA19_L,20190713,light,24,-69.5,24.015,37.17,37.52,26.8,2249.84259,Sample,
PA20_L,20190713,light,24,-63.6,24.157,36.97,37.51,26.8,2308.67743,Sample,
PA23_L,20190713,light,24,-67.2,24.159,37.28,37.52,26.8,2287.18242,Sample,
PA25_L,20190713,light,24,-67.2,24.078,37.23,37.49,26.8,2287.96916,Sample,
PA29_L,20190713,light,24,-74.6,24.199,37.29,37.52,26.8,2142.32227,Sample,
PA31_L,20190713,light,24,-72.5,24.129,37.25,37.51,26.8,2238.28945,Sample,
PA32_L,20190713,light,24,-68.5,23.996,37.26,37.58,26.8,2276.5831,Sample,
PA35_L,20190713,light,24,-71.4,24.02,37.29,37.57,26.8,2274.46636,Sample,
BLANK7_L,20190713,light,24,-59.8,24.183,37.24,37.55,26.8,2350.83258,Blank,
BLANK8_L,20190713,light,24,-63.6,24.041,37.28,37.52,26.8,2356.6533,Blank,
I1,20190713,light,28,-62.9,27.6125,37.49,36.685,26.8,2340.95052,Initial,
PA19_L,20190713,light,28,-69.6,26.701,37.31,36.75,26.8,2233.84457,Sample,
PA20_L,20190713,light,28,-68.6,26.164,37.34,36.74,26.8,2298.41963,Sample,
PA23_L,20190713,light,28,-71.3,26.2,37.35,36.74,26.8,2279.57242,Sample,
PA25_L,20190713,light,28,-66.6,26.543,37.4,36.84,26.8,2279.45785,Sample,
PA29_L,20190713,light,28,-74.6,26.444,37.4,36.8,26.8,2077.63837,Sample,
PA31_L,20190713,light,28,-73.8,26.01,37.32,36.73,26.8,2208.9273,Sample,
PA32_L,20190713,light,28,-64.9,26.298,36.95,36.75,26.8,2214.8949,Sample,
PA35_L,20190713,light,28,-70.1,26.426,37.43,36.76,26.8,2247.38335,Sample,
BLANK7_L,20190713,light,28,-63,26.503,37.4,36.74,26.8,2350.68515,Blank,
BLANK8_L,20190713,light,28,-62.7,26.559,37.38,36.73,26.8,2352.1262,Blank,
I1,20190713,light,30,-60.55,29.172,37.735,36.715,26.8,2351.392505,Initial,
PA19_L,20190713,light,30,-67.2,28.352,37.49,36.87,26.8,2233.99926,Sample,
PA20_L,20190713,light,30,-67.8,27.988,37.46,36.84,26.8,2289.96095,Sample,
PA23_L,20190713,light,30,-69.4,27.822,37.44,36.8,26.8,2272.58896,Sample,
PA25_L,20190713,light,30,-65.7,27.843,37.47,36.81,26.8,2281.68175,Sample,
PA29_L,20190713,light,30,-72.1,27.956,37.46,36.87,26.8,2075.50567,Sample,
PA31_L,20190713,light,30,-72.2,28.04,37.45,36.82,26.8,2206.144074,Sample,
PA32_L,20190713,light,30,-63.8,28.474,37.49,36.92,26.8,2256.6517,Sample,
PA35_L,20190713,light,30,-69.1,27.389,37,36.88,26.8,2230.87808,Sample,
BLANK7_L,20190713,light,30,-62,28.031,37.41,36.84,26.8,2356.54704,Blank,
BLANK8_L,20190713,light,30,-61.3,28.334,37.38,36.85,26.8,2355.07315,Blank,
I1,20190713,light,31,-59.56666667,30.41733333,37.61,36.79666667,26.8,2346.6149,Initial,
