fragment.ID,date,light_dark,temp.Cat,mV,Tin,salinity.insitu,salinity.lab,temp.InSitu,TA,Sample.Type,
I1,20190626,light,20,-66.2,21.25233333,35.74333333,36.44,26.8,2340.2884,Initial,
PA1_L,20190626,light,20,-66.2,20.506,36.1,36.57,26.8,2312.37357,Sample,
PA5_L,20190626,light,20,-71.4,20.242,35.95,36.49,26.8,2338.76834,Sample,
PA7_L,20190626,light,20,-70.6,20.399,35.64,35.95,26.8,2418.26158,Sample,
PA9_L,20190626,light,20,-72.6,21.038,36.14,36.55,26.8,2316.60103,Sample,
PA10_L,20190626,light,20,-70.6,21.147,36.32,36.51,26.8,2305.74046,Sample,
PA11_L,20190626,light,20,-70.3,20.302,36,36.57,26.8,2317.22899,Sample,
PA17_L,20190626,light,20,-72.5,21.227,36.16,36.6,26.8,2297.32581,Sample,
PA18_L,20190626,light,20,-70.2,20.834,36,36.54,26.8,2321.2733,Sample,
BLANK1_L,20190626,light,20,-66.7,20.82,35.7,36.59,26.8,2339.84758,Blank,
BLANK2_L,20190626,light,20,-67.4,20.195,36.07,36.52,26.8,2338.60643,Blank,
I1,20190626,light,24,-66.45,23.81,36.3,36.64,26.8,2339.748165,Initial,
PA1_L,20190626,light,24,-70.2,23.485,36.4,36.81,26.8,2313.8553,Sample,
PA5_L,20190626,light,24,-72.6,23.577,36.4,36.71,26.8,2294.12394,Sample,
PA7_L,20190626,light,24,-72,23.643,36.39,36.63,26.8,2297.70547,Sample,
PA9_L,20190626,light,24,-69,23.907,35.94,36.73,26.8,2290.99514,Sample,
PA10_L,20190626,light,24,-68.6,23.75,36.4,36.78,26.8,2358.37722,Sample,
PA11_L,20190626,light,24,-70.4,23.507,36.36,36.82,26.8,2290.49593,Sample,
PA17_L,20190626,light,24,-71.9,23.95,36.39,36.71,26.8,2269.14792,Sample,
PA18_L,20190626,light,24,-69.1,23.982,36.35,36.66,26.8,2296.71981,Sample,
BLANK1_L,20190626,light,24,-64.7,23.754,36.35,36.6,26.8,2349.02787,Blank,
BLANK2_L,20190626,light,24,-66,23.435,36.12,36.77,26.8,2344.10348,Blank,
I1,20190626,light,28,-62.4,27.217,36.56333333,36.85,26.8,2354.907963,Initial,
PA1_L,20190626,light,28,-67.2,26.124,35.9,36.77,26.8,2314.6643,Sample,
PA5_L,20190626,light,28,-71.7,26.595,36.42,37.15,26.8,2298.8656,Sample,
PA7_L,20190626,light,28,-70.4,26.361,36.46,36.91,26.8,2281.03526,Sample,
PA9_L,20190626,light,28,-71.6,26.673,36.42,36.83,26.8,2288.77483,Sample,
PA10_L,20190626,light,28,-67.6,26.283,36.57,36.76,26.8,2285.1141,Sample,
PA11_L,20190626,light,28,-69.5,26.361,36.41,36.74,26.8,2285.26438,Sample,
PA17_L,20190626,light,28,-72.1,26.677,36.49,36.67,26.8,2227.8305,Sample,
PA18_L,20190626,light,28,-67,26.44,36.44,36.81,26.8,2290.38261,Sample,
BLANK1_L,20190626,light,28,-64,26.552,36.44,36.74,26.8,2358.49195,Blank,
BLANK2_L,20190626,light,28,-64,26.319,36.42,36.79,26.8,2356.5553,Blank,
I1,20190626,light,30,-63.7,29.261,36.47,36.975,26.8,2341.323425,Initial,
PA1_L,20190626,light,30,-70.5,27.921,36.59,36.98,26.8,2298.05431,Sample,
PA5_L,20190626,light,30,-70.3,28.085,36.75,37.02,26.8,2285.67184,Sample,
PA7_L,20190626,light,30,-71.2,28.282,36.6,37.04,26.8,2302.6161,Sample,
PA9_L,20190626,light,30,-70.4,27.763,36.61,36.91,26.8,2259.00481,Sample,
PA10_L,20190626,light,30,-68,27.761,36.57,36.95,26.8,2258.35847,Sample,
PA11_L,20190626,light,30,-69.2,27.932,36.17,36.96,26.8,2260.43277,Sample,
PA17_L,20190626,light,30,-71.6,27.677,36.57,36.98,26.8,2206.41274,Sample,
PA18_L,20190626,light,30,-67.6,27.676,36.62,37.02,26.8,2284.90706,Sample,
BLANK1_L,20190626,light,30,-64,27.96,36.57,37.03,26.8,2342.66631,Blank,
BLANK2_L,20190626,light,30,-61.2,27.686,36.17,37.01,26.8,2353.40669,Blank,
I1,20190626,light,31,-61.9,30.75966667,36.68,36.92666667,26.8,2341.481917,Initial,
PA1_L,20190626,light,31,-67.7,28.598,36.65,37.08,26.8,2292.69435,Sample,
PA5_L,20190626,light,31,-70.3,28.798,36.69,37.06,26.8,2286.21507,Sample,
PA7_L,20190626,light,31,-69.8,28.916,36.67,37.14,26.8,2298.23311,Sample,
PA9_L,20190626,light,31,-68.1,29.155,36.67,37.06,26.8,2269.90768,Sample,
PA10_L,20190626,light,31,-66.2,28.681,36.65,37.11,26.8,2253.59014,Sample,
PA11_L,20190626,light,31,-67.3,28.709,36.65,37.07,26.8,2260.96773,Sample,
PA17_L,20190626,light,31,-69.3,28.808,36.61,37.24,26.8,2200.16143,Sample,
