fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PA0_PI_0_O2,PA0,P. acuta,0,10,0,26.8,4:25:00 PM,4:40:00 PM,light
PA2_PI_0_O2,PA2,P. acuta,2,5,0,26.8,4:25:00 PM,4:40:00 PM,light
PA3_PI_0_O2,PA3,P. acuta,3,4,0,26.8,4:25:00 PM,4:40:00 PM,light
PA8_PI_0_O2,PA8,P. acuta,8,7,0,26.8,4:25:00 PM,4:40:00 PM,light
PA10_PI_0_O2,PA10,P. acuta,10,2,0,26.8,4:25:00 PM,4:40:00 PM,light
PA13_PI_0_O2,PA13,P. acuta,13,3,0,26.8,4:25:00 PM,4:40:00 PM,light
PA14_PI_0_O2,PA14,P. acuta,14,8,0,26.8,4:25:00 PM,4:40:00 PM,light
PA17_PI_0_O2,PA17,P. acuta,17,9,0,26.8,4:25:00 PM,4:40:00 PM,light
BLANK1_PI_0_O2,BLANK1,P. acuta,BLANK,6,0,26.8,4:25:00 PM,4:40:00 PM,light
PA0_PI_29_O2,PA0,P. acuta,0,10,29,26.8,4:57:00 PM,5:19:00 PM,light
PA2_PI_29_O2,PA2,P. acuta,2,5,29,26.8,4:57:00 PM,5:19:00 PM,light
PA3_PI_29_O2,PA3,P. acuta,3,4,29,26.8,4:57:00 PM,5:19:00 PM,light
PA8_PI_29_O2,PA8,P. acuta,8,7,29,26.8,4:57:00 PM,5:19:00 PM,light
PA10_PI_29_O2,PA10,P. acuta,10,2,29,26.8,4:57:00 PM,5:19:00 PM,light
PA13_PI_29_O2,PA13,P. acuta,13,3,29,26.8,4:57:00 PM,5:19:00 PM,light
PA14_PI_29_O2,PA14,P. acuta,14,8,29,26.8,4:57:00 PM,5:19:00 PM,light
PA17_PI_29_O2,PA17,P. acuta,17,9,29,26.8,4:57:00 PM,5:19:00 PM,light
BLANK1_PI_29_O2,BLANK1,P. acuta,BLANK,6,29,26.8,4:57:00 PM,5:19:00 PM,light
PA0_PI_75_O2,PA0,P. acuta,0,10,75,26.8,5:26:00 PM,5:43:00 PM,light
PA2_PI_75_O2,PA2,P. acuta,2,5,75,26.8,5:26:00 PM,5:43:00 PM,light
PA3_PI_75_O2,PA3,P. acuta,3,4,75,26.8,5:26:00 PM,5:43:00 PM,light
PA8_PI_75_O2,PA8,P. acuta,8,7,75,26.8,5:26:00 PM,5:43:00 PM,light
PA10_PI_75_O2,PA10,P. acuta,10,2,75,26.8,5:26:00 PM,5:43:00 PM,light
PA13_PI_75_O2,PA13,P. acuta,13,3,75,26.8,5:26:00 PM,5:43:00 PM,light
PA14_PI_75_O2,PA14,P. acuta,14,8,75,26.8,5:26:00 PM,5:43:00 PM,light
PA17_PI_75_O2,PA17,P. acuta,17,9,75,26.8,5:26:00 PM,5:43:00 PM,light
BLANK1_PI_75_O2,BLANK1,P. acuta,BLANK,6,75,26.8,5:26:00 PM,5:43:00 PM,light
PA0_PI_139_O2,PA0,P. acuta,0,10,139,26.8,5:48:00 PM,6:04:00 PM,light
PA2_PI_139_O2,PA2,P. acuta,2,5,139,26.8,5:48:00 PM,6:04:00 PM,light
PA3_PI_139_O2,PA3,P. acuta,3,4,139,26.8,5:48:00 PM,6:04:00 PM,light
PA8_PI_139_O2,PA8,P. acuta,8,7,139,26.8,5:48:00 PM,6:04:00 PM,light
