"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"3","PA39_PI_0_O2",161.438976666667,-0.0123100000000003,26.696,NA,"PA39","P. acuta","39",2,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","low",86.8,0.625,-0.00769375000000018,"0",-0.00065905357142844,-0.00703469642857174,-0.291761603028321,NA
"4","PA40_PI_0_O2",140.01442,-0.0178200000000003,26.6971666666667,NA,"PA40","P. acuta","40",4,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","low",78.9,0.62,-0.0110484000000002,"0",-0.00065905357142844,-0.0103893464285717,-0.474038620315061,NA
"5","PA43_PI_0_O2",147.39184,-0.0188399999999998,26.572,NA,"PA43","P. acuta","43",5,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","low",77.1,0.62,-0.0116807999999999,"0",-0.00065905357142844,-0.0110217464285715,-0.514634074485827,NA
"6","PA45_PI_0_O2",157.703039523809,-0.0158014285714283,26.701,NA,"PA45","P. acuta","45",8,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","low",66.4,0.63,-0.00995489999999984,"0",-0.00065905357142844,-0.0092958464285714,-0.503991673838208,NA
"7","PA47_PI_0_O2",158.694515,-0.0168150000000002,26.5361666666667,NA,"PA47","P. acuta","47",9,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","high",71.2,0.625,-0.0105093750000001,"0",-0.00065905357142844,-0.00985032142857168,-0.498049959871602,NA
"8","PA48_PI_0_O2",148.314545,-0.00794500000000015,26.677,NA,"PA48","P. acuta","48",6,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","high",68.7,0.625,-0.00496562500000009,"0",-0.00065905357142844,-0.00430657142857165,-0.225671865252663,NA
"9","PA53_PI_0_O2",171.664709047619,-0.0082328571428574,26.736,NA,"PA53","P. acuta","53",1,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","high",52.7,0.63,-0.00518670000000016,"0",-0.00065905357142844,-0.00452764642857172,-0.309288940092186,NA
"10","PA54_PI_0_O2",142.62158,-0.0193800000000003,26.677,NA,"PA54","P. acuta","54",10,0,26.8,2020-06-25 12:24:00,2020-06-25 12:40:00,"light","high",78.6,0.615,-0.0119187000000002,"0",-0.00065905357142844,-0.0112596464285717,-0.515708996728476,NA
"13","PA39_PI_141_O2",139.79043,0.000569999999999831,26.771,NA,"PA39","P. acuta","20",2,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","low",86.8,0.625,0.000356249999999894,"0",-0.000557375000000064,0.000913624999999958,0.037892281105989,-1.98128247032537
"14","PA40_PI_141_O2",124.244179047619,0.00529714285714232,26.784,NA,"PA40","P. acuta","23",4,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","low",78.9,0.62,0.00328422857142824,"0",-0.000557375000000064,0.0038416035714283,0.17528229223247,-1.28995819061509
"15","PA43_PI_141_O2",128.335882857143,0.00568857142857103,26.671,NA,"PA43","P. acuta","24",5,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","low",77.1,0.62,0.00352691428571404,"0",-0.000557375000000064,0.0040842892857141,0.190706114508051,-1.23544243789909
"16","PA45_PI_141_O2",138.156235,0.00346499999999986,26.78,NA,"PA45","P. acuta","25",8,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","low",66.4,0.63,0.00218294999999991,"0",-0.000557375000000064,0.00274032499999997,0.148571837349396,-1.39202339132116
"17","PA47_PI_141_O2",122.300355,-0.00235499999999993,26.615,NA,"PA47","P. acuta","29",9,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","high",71.2,0.625,-0.00147187499999996,"0",-0.000557375000000064,-0.000914499999999894,-0.0462387640449385,-2.92320259279599
"18","PA48_PI_141_O2",148.466973333333,0.00535999999999915,26.761,NA,"PA48","P. acuta","30",6,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","high",68.7,0.625,0.00334999999999947,"0",-0.000557375000000064,0.00390737499999953,0.204753275109146,-1.18825276380682
"19","PA53_PI_141_O2",169.41459952381,0.00563857142857105,26.8091666666667,NA,"PA53","P. acuta","33",1,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","high",52.7,0.63,0.00355229999999976,"0",-0.000557375000000064,0.00410967499999982,0.2807368121442,-0.96564692432885
"20","PA54_PI_141_O2",103.059887619048,-0.00169714285714298,26.7511666666667,NA,"PA54","P. acuta","34",10,141,26.8,2020-06-25 01:37:00,2020-06-25 01:53:00,"light","high",78.6,0.615,-0.00104374285714293,"0",-0.000557375000000064,-0.000486367857142867,-0.0222763904034901,-2.55459621195242
"23","PA39_PI_218_O2",147.430381428571,0.00590428571428572,26.831,NA,"PA39","P. acuta","20",2,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","low",86.8,0.625,0.00369017857142857,"0",-0.000718714285714388,0.00440889285714296,0.182857307439109,-1.2628127224936
"24","PA40_PI_218_O2",143.053975,0.0147250000000006,26.854,NA,"PA40","P. acuta","23",4,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","low",78.9,0.62,0.00912950000000035,"0",-0.000718714285714388,0.00984821428571474,0.449348180336794,-0.599022830233936
"25","PA43_PI_218_O2",148.60074,0.0152600000000001,26.739,NA,"PA43","P. acuta","24",5,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","low",77.1,0.62,0.00946120000000004,"0",-0.000718714285714388,0.0101799142857144,0.47532673707616,-0.552817161177766
"26","PA45_PI_218_O2",152.803166190476,0.0117385714285709,26.842,NA,"PA45","P. acuta","25",8,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","low",66.4,0.63,0.00739529999999966,"0",-0.000718714285714388,0.00811401428571404,0.439916437177267,-0.616340897366233
"27","PA47_PI_218_O2",126.132765,0.00493499999999998,26.6778333333333,NA,"PA47","P. acuta","29",9,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","high",71.2,0.625,0.00308437499999999,"0",-0.000718714285714388,0.00380308928571438,0.192291031300165,-1.2300052905373
"28","PA48_PI_218_O2",164.607505,0.0108950000000006,26.825,NA,"PA48","P. acuta","30",6,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","high",68.7,0.625,0.00680937500000038,"0",-0.000718714285714388,0.00752808928571476,0.394485028072389,-0.704238405278859
"29","PA53_PI_218_O2",184.773343333333,0.0109899999999992,26.865,NA,"PA53","P. acuta","33",1,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","high",52.7,0.63,0.00692369999999947,"0",-0.000718714285714388,0.00764241428571386,0.522062455950093,-0.474714779788529
"30","PA54_PI_218_O2",109.360281428571,0.0060042857142854,26.816,NA,"PA54","P. acuta","34",10,218,26.8,2020-06-25 02:06:00,2020-06-25 02:22:00,"light","high",78.6,0.615,0.00369263571428552,"0",-0.000718714285714388,0.00441134999999991,0.202046564885492,-1.19717408513051
"33","PA39_PI_349_O2",168.098265238095,0.016115714285714,26.911,NA,"PA39","P. acuta","20",2,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","low",86.8,0.625,0.0100723214285712,"0",-0.000551571428571845,0.0106238928571431,0.440622284397639,-0.615034424388121
"34","PA40_PI_349_O2",178.968216666667,0.02645,26.9418333333333,NA,"PA40","P. acuta","23",4,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","low",78.9,0.62,0.016399,"0",-0.000551571428571845,0.0169505714285718,0.773410103204798,-0.135350070325498
"35","PA43_PI_349_O2",187.083726666667,0.0279399999999995,26.838,NA,"PA43","P. acuta","24",5,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","low",77.1,0.62,0.0173227999999997,"0",-0.000551571428571845,0.0178743714285715,0.834601000555869,-0.0676355781451575
"36","PA45_PI_349_O2",182.412485,0.0205150000000003,26.927,NA,"PA45","P. acuta","25",8,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","low",66.4,0.63,0.0129244500000002,"0",-0.000551571428571845,0.013476021428572,0.730627667814145,-0.185573637704411
"37","PA47_PI_349_O2",143.52175,0.0132499999999996,26.7626666666667,NA,"PA47","P. acuta","29",9,349,26.8,2020-06-25 02:32:00,2020-06-25 02:48:00,"light","high",71.2,0.625,0.00828124999999974,"0",-0.000551571428571845,0.00883282142857158,0.446603330658114,-0.604031912096354
