"","file.ID","site.name","site","Date.Time","Temp","Coupler.Detached..LGR.S.N..20470152.","site.block","site.abbr","site.letter"
"1","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 07:00:00,25.089,"Logged",1,"AH","F"
"2","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 07:15:00,25.598,"",1,"AH","F"
"3","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 07:30:00,25.89,"",1,"AH","F"
"4","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 07:45:00,26.695,"",1,"AH","F"
"5","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 08:00:00,26.451,"",1,"AH","F"
"6","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 08:15:00,26.5,"",1,"AH","F"
"7","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 08:30:00,26.598,"",1,"AH","F"
"8","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 08:45:00,26.671,"",1,"AH","F"
"9","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 09:00:00,26.744,"",1,"AH","F"
"10","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 09:15:00,26.769,"",1,"AH","F"
"11","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 09:30:00,26.818,"",1,"AH","F"
"12","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 09:45:00,26.916,"",1,"AH","F"
"13","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 10:00:00,27.014,"",1,"AH","F"
"14","Summer_2019/HOBO/Data/Sum_Temp//AnemoneHeaven_1_20190619.csv","Anemone.Heaven_1","A",2019-06-19 10:15:00,27.308,"",1,"AH","F"
