"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","Light_Dark","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","start.time","stop.time","light_dark","treatment","surf.area.cm2","volume","umol.sec","BLANK","blank.rate","umol.sec.corr","umol.cm2.hr","Rate.ln"
"25","PA2_PI_218_O2",170.40557,0.00593000000000018,26.4371666666667,NA,"PA2","P. acuta","2",5,218,26.8,2020-06-25 06:12:00,2020-06-25 06:30:00,"light","low",51.95,0.59,0.0034987000000001,"0",-0.00010121428571481,0.00359991428571491,0.249464705073603,-1.05135270932166
"26","PA3_PI_218_O2",162.775195,0.00350499999999998,26.7088333333333,NA,"PA3","P. acuta","3",4,218,26.8,2020-06-25 06:12:00,2020-06-25 06:30:00,"light","low",36.37,0.6,0.00210299999999999,"0",-0.00010121428571481,0.0022042142857148,0.218179032954998,-1.14514105791132
"27","PA8_PI_218_O2",169.254997619048,0.00419285714285649,26.439,NA,"PA8","P. acuta","8",7,218,26.8,2020-06-25 06:12:00,2020-06-25 06:30:00,"light","low",43.26,0.605,0.00253667857142817,"0",-0.00010121428571481,0.00263789285714298,0.219519516544493,-1.14093692238384
"29","PA0_PI_29_O2",171.976835,0.00146500000000032,26.2638333333333,NA,"PA0","P. acuta","0",10,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","low",81.75,0.59,0.000864350000000186,"0",-0.000131857142857508,0.000996207142857694,0.0438696723460269,-1.93884744236662
"30","PA10_PI_29_O2",159.8868,-0.00359999999999956,26.434,NA,"PA10","P. acuta","10",2,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","high",55.21,0.61,-0.00219599999999973,"0",-0.000131857142857508,-0.00206414285714223,-0.134593629518421,NA
"31","PA13_PI_29_O2",150.86626,-0.00345999999999975,26.497,NA,"PA13","P. acuta","13",3,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","high",55.7,0.6,-0.00207599999999985,"0",-0.000131857142857508,-0.00194414285714234,-0.125653757373652,NA
"32","PA14_PI_29_O2",182.00455,-4.99999999996703e-05,26.429,NA,"PA14","P. acuta","14",8,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","high",41.83,0.61,-3.04999999997989e-05,"0",-0.000131857142857508,0.000101357142857709,0.00872306273697708,-2.21895133866613
"33","PA17_PI_29_O2",158.81593,-0.00493000000000086,26.126,NA,"PA17","P. acuta","17",9,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","high",73.9,0.6,-0.00295800000000052,"0",-0.000131857142857508,-0.00282614285714301,-0.137674076937955,NA
"34","PA2_PI_29_O2",164.785495,-0.00359499999999969,26.282,NA,"PA2","P. acuta","2",5,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","low",51.95,0.59,-0.00212104999999981,"0",-0.000131857142857508,-0.00198919285714231,-0.13784589577887,NA
"35","PA3_PI_29_O2",162.984255,-0.00365500000000054,26.508,NA,"PA3","P. acuta","3",4,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","low",36.37,0.6,-0.00219300000000032,"0",-0.000131857142857508,-0.00206114285714282,-0.204017439805173,NA
"36","PA8_PI_29_O2",164.264005,-0.000405000000000371,26.3071666666667,NA,"PA8","P. acuta","8",7,29,26.8,2020-06-25 04:57:00,2020-06-25 05:19:00,"light","low",43.26,0.605,-0.000245025000000224,"0",-0.000131857142857508,-0.000113167857142717,-0.00941757479689736,-2.40149506705591
"38","PA0_PI_350_O2",226.061414285714,0.0194428571428572,26.6558333333333,NA,"PA0","P. acuta","0",10,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","low",81.75,0.59,0.0114712857142857,"0",0.000799500000000307,0.0106717857142854,0.469950196592385,-0.562206296370231
"39","PA10_PI_350_O2",174.20196,0.01304,26.807,NA,"PA10","P. acuta","10",2,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","high",55.21,0.61,0.00795439999999997,"0",0.000799500000000307,0.00715489999999967,0.466539395037109,-0.568208659824958
"40","PA13_PI_350_O2",164.3658,0.0127999999999992,26.785,NA,"PA13","P. acuta","13",3,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","high",55.7,0.6,0.00767999999999953,"0",0.000799500000000307,0.00688049999999922,0.444700179533163,-0.607519764992483
"41","PA14_PI_350_O2",210.874735,0.00996500000000083,26.8295,NA,"PA14","P. acuta","14",8,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","high",41.83,0.61,0.0060786500000005,"0",0.000799500000000307,0.0052791500000002,0.454337556777449,-0.58998146952522
"42","PA17_PI_350_O2",167.550543333333,0.01079,26.466,NA,"PA17","P. acuta","17",9,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","high",73.9,0.6,0.006474,"0",0.000799500000000307,0.00567449999999969,0.276430311231379,-0.977022345205628
"43","PA2_PI_350_O2",180.82878,0.01122,26.625,NA,"PA2","P. acuta","2",5,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","low",51.95,0.59,0.00661980000000002,"0",0.000799500000000307,0.00582029999999972,0.40333166506254,-0.686505952292053
"44","PA3_PI_350_O2",169.15676,0.00624000000000052,26.886,NA,"PA3","P. acuta","3",4,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","low",36.37,0.6,0.00374400000000031,"0",0.000799500000000307,0.00294450000000001,0.291454495463294,-0.937886001562608
"45","PA8_PI_350_O2",176.34931,0.00799000000000035,26.648,NA,"PA8","P. acuta","8",7,350,26.8,2020-06-25 06:36:00,2020-06-25 06:48:00,"light","low",43.26,0.605,0.00483395000000021,"0",0.000799500000000307,0.0040344499999999,0.335737864077662,-0.830714445623516
"47","PA0_PI_536_O2",256.771565,0.0192350000000022,26.9015,NA,"PA0","P. acuta","0",10,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","low",81.75,0.59,0.0113486500000013,"0",-8.12500000002686e-05,0.0114299000000015,0.503335045871628,-0.505282604933142
"48","PA10_PI_536_O2",196.556255,0.0154450000000002,27.0131666666667,NA,"PA10","P. acuta","10",2,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","high",55.21,0.61,0.00942145000000013,"0",-8.12500000002686e-05,0.0095027000000004,0.619629052707869,-0.329019404307919
"49","PA13_PI_536_O2",188.97351,0.0152899999999999,27.002,NA,"PA13","P. acuta","13",3,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","high",55.7,0.6,0.00917399999999995,"0",-8.12500000002686e-05,0.00925525000000022,0.598184919210068,-0.359271284071733
"50","PA14_PI_536_O2",230.97192,0.0144799999999998,27.055,NA,"PA14","P. acuta","14",8,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","high",41.83,0.61,0.00883279999999987,"0",-8.12500000002686e-05,0.00891405000000014,0.767166626822867,-0.142524132866997
"51","PA17_PI_536_O2",190.37425,0.0127500000000006,26.697,NA,"PA17","P. acuta","17",9,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","high",73.9,0.6,0.00765000000000037,"0",-8.12500000002686e-05,0.00773125000000064,0.376623815967555,-0.741027745008796
"52","PA2_PI_536_O2",203.442635,0.0163650000000004,26.842,NA,"PA2","P. acuta","2",5,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","low",51.95,0.59,0.00965535000000024,"0",-8.12500000002686e-05,0.00973660000000051,0.674721077959612,-0.255252213815078
"53","PA3_PI_536_O2",180.87930952381,0.0069285714285709,27.088,NA,"PA3","P. acuta","3",4,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","low",36.37,0.6,0.00415714285714254,"0",-8.12500000002686e-05,0.00423839285714281,0.419527475548917,-0.654835581393052
"54","PA8_PI_536_O2",192.160797142857,0.0106314285714284,26.8798333333333,NA,"PA8","P. acuta","8",7,536,26.8,2020-06-25 06:57:00,2020-06-25 07:13:00,"light","low",43.26,0.605,0.00643201428571416,"0",-8.12500000002686e-05,0.00651326428571443,0.542019219338232,-0.443137039076356
"56","PA0_PI_726_O2",283.986905,0.0179950000000006,26.886,NA,"PA0","P. acuta","0",10,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","low",81.75,0.59,0.0106170500000004,"0",0.000451750000000335,0.0101653,0.447646238532111,-0.602125750615206
"57","PA10_PI_726_O2",218.928975,0.0141250000000007,26.958,NA,"PA10","P. acuta","10",2,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","high",55.21,0.61,0.00861625000000042,"0",0.000451750000000335,0.00816450000000008,0.532370947292163,-0.458279115100337
"58","PA13_PI_726_O2",214.511349047619,0.0181271428571417,26.9081666666667,NA,"PA13","P. acuta","13",3,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","high",55.7,0.6,0.010876285714285,"0",0.000451750000000335,0.0104245357142847,0.673758143113553,-0.256495930820872
"59","PA14_PI_726_O2",249.014184761905,0.0124342857142846,27.0231666666667,NA,"PA14","P. acuta","14",8,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","high",41.83,0.61,0.00758491428571363,"0",0.000451750000000335,0.00713316428571329,0.613898910556248,-0.337013908520204
"60","PA17_PI_726_O2",215.03417,0.0148300000000009,26.61,NA,"PA17","P. acuta","17",9,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","high",73.9,0.6,0.00889800000000057,"0",0.000451750000000335,0.00844625000000023,0.411454668470918,-0.670496322208143
"61","PA2_PI_726_O2",228.7563,0.0186999999999994,26.757,NA,"PA2","P. acuta","2",5,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","low",51.95,0.59,0.0110329999999996,"0",0.000451750000000335,0.0105812499999993,0.733253128007652,-0.182417807816754
"62","PA3_PI_726_O2",191.471735,0.00836499999999963,27.041,NA,"PA3","P. acuta","3",4,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","low",36.37,0.6,0.00501899999999978,"0",0.000451750000000335,0.00456724999999944,0.452078636238603,-0.594064785897079
"63","PA8_PI_726_O2",208.328235,0.0107649999999998,26.7815,NA,"PA8","P. acuta","8",7,726,26.8,2020-06-25 07:20:00,2020-06-25 07:38:00,"light","low",43.26,0.605,0.00651282499999989,"0",0.000451750000000335,0.00606107499999955,0.504389042995802,-0.503537177477526
"65","PA0_PI_75_O2",177.891045,0.00585499999999882,26.206,NA,"PA0","P. acuta","0",10,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","low",81.75,0.59,0.00345444999999931,"0",-0.000195000000000377,0.00364944999999968,0.160709724770628,-1.34434765620435
"66","PA10_PI_75_O2",155.234945,-0.00194500000000062,26.378,NA,"PA10","P. acuta","10",2,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","high",55.21,0.61,-0.00118645000000038,"0",-0.000195000000000377,-0.00099145,-0.0646480710016301,-3.34240231957476
"67","PA13_PI_75_O2",146.05376952381,-0.00253142857142843,26.4281666666667,NA,"PA13","P. acuta","13",3,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","high",55.7,0.6,-0.00151885714285706,"0",-0.000195000000000377,-0.00132385714285668,-0.0855634778147943,-4.23799402042537
"68","PA14_PI_75_O2",182.524767619048,0.00142285714285674,26.3858333333333,NA,"PA14","P. acuta","14",8,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","high",41.83,0.61,0.000867942857142613,"0",-0.000195000000000377,0.00106294285714299,0.0914796625798413,-1.65297367662858
"69","PA17_PI_75_O2",152.902195,-0.00309499999999957,26.06,NA,"PA17","P. acuta","17",9,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","high",73.9,0.6,-0.00185699999999974,"0",-0.000195000000000377,-0.00166199999999937,-0.0809634641406999,-3.96139520633484
"70","PA2_PI_75_O2",160.834645,-0.00224499999999864,26.222,NA,"PA2","P. acuta","2",5,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","low",51.95,0.59,-0.0013245499999992,"0",-0.000195000000000377,-0.00112954999999882,-0.0782748796919298,-3.82928607007524
"71","PA3_PI_75_O2",158.00617,-0.00316999999999989,26.451,NA,"PA3","P. acuta","3",4,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","low",36.37,0.6,-0.00190199999999993,"0",-0.000195000000000377,-0.00170699999999956,-0.168963431399461,NA
"72","PA8_PI_75_O2",162.448155,-0.000854999999999847,26.243,NA,"PA8","P. acuta","8",7,75,26.8,2020-06-25 05:26:00,2020-06-25 05:43:00,"light","low",43.26,0.605,-0.000517274999999908,"0",-0.000195000000000377,-0.000322274999999531,-0.0268190013869235,-2.61481947350063
"74","PA0_PI_910_O2",305.255305,0.0166950000000008,26.8066666666667,NA,"PA0","P. acuta","0",10,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","low",81.75,0.59,0.0098500500000005,"0",-4.87499999999874e-05,0.00989880000000049,0.435910458715618,-0.623788186501556
"75","PA10_PI_910_O2",237.47027,0.014930000000001,26.858,NA,"PA10","P. acuta","10",2,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","high",55.21,0.61,0.00910730000000062,"0",-4.87499999999874e-05,0.0091560500000006,0.597025538851697,-0.360933227785713
"76","PA13_PI_910_O2",237.2584,0.0195999999999995,26.7688333333333,NA,"PA13","P. acuta","13",3,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","high",55.7,0.6,0.0117599999999997,"0",-4.87499999999874e-05,0.0118087499999997,0.763222621184899,-0.147082659189629
"77","PA14_PI_910_O2",262.622075,0.0099249999999995,26.9508333333333,NA,"PA14","P. acuta","14",8,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","high",41.83,0.61,0.0060542499999997,"0",-4.87499999999874e-05,0.00610299999999968,0.525240258187876,-0.46961929001292
"78","PA17_PI_910_O2",236.600785238095,0.0165957142857129,26.4933333333333,NA,"PA17","P. acuta","17",9,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","high",73.9,0.6,0.00995742857142771,"0",-4.87499999999874e-05,0.0100061785714277,0.487445776145328,-0.5319713331462
"79","PA2_PI_910_O2",252.07589,0.0196100000000004,26.653,NA,"PA2","P. acuta","2",5,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","low",51.95,0.59,0.0115699000000002,"0",-4.87499999999874e-05,0.0116186500000002,0.80514225216556,-0.0996631629211079
"80","PA3_PI_910_O2",200.440315,0.00688499999999976,26.956,NA,"PA3","P. acuta","3",4,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","low",36.37,0.6,0.00413099999999986,"0",-4.87499999999874e-05,0.00417974999999985,0.413722848501497,-0.666071364200406
"81","PA8_PI_910_O2",222.05082,0.0122800000000004,26.661,NA,"PA8","P. acuta","8",7,910,26.8,2020-06-25 07:41:00,2020-06-25 07:58:00,"light","low",43.26,0.605,0.00742940000000022,"0",-4.87499999999874e-05,0.00747815000000021,0.622314840499324,-0.325294167965391
