,3.0.1.1413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
7/4/19,11:53:14,10,default,88068563,OXY_CH10,11.502,min,110.443,μmol/L,Humid,24.906,deg,165017,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289452.99,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:15,10,default,88068563,OXY_CH10,11.518,min,110.009,μmol/L,Humid,24.954,deg,165361,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289449.45,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:16,10,default,88068563,OXY_CH10,11.535,min,109.562,μmol/L,Humid,25.001,deg,165681,µV,34.922,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289449.11,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:17,10,default,88068563,OXY_CH10,11.551,min,109.236,μmol/L,Humid,25.04,deg,165978,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289444.07,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:18,10,default,88068563,OXY_CH10,11.568,min,108.843,μmol/L,Humid,25.084,deg,166336,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289438.81,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:19,10,default,88068563,OXY_CH10,11.585,min,108.487,μmol/L,Humid,25.124,deg,166595,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289451.31,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:20,10,default,88068563,OXY_CH10,11.602,min,108.13,μmol/L,Humid,25.167,deg,166898,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289452.26,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:21,10,default,88068563,OXY_CH10,11.618,min,107.795,μmol/L,Humid,25.205,deg,167169,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289452.03,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:22,10,default,88068563,OXY_CH10,11.635,min,107.496,μmol/L,Humid,25.239,deg,167437,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289451.4,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:23,10,default,88068563,OXY_CH10,11.651,min,107.233,μmol/L,Humid,25.269,deg,167652,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289449.74,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:24,10,default,88068563,OXY_CH10,11.668,min,106.924,μmol/L,Humid,25.307,deg,167942,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289447.57,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:25,10,default,88068563,OXY_CH10,11.685,min,106.596,μmol/L,Humid,25.342,deg,168175,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289449.58,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:26,10,default,88068563,OXY_CH10,11.702,min,106.361,μmol/L,Humid,25.369,deg,168391,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289444.62,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:27,10,default,88068563,OXY_CH10,11.718,min,106.06,μmol/L,Humid,25.401,deg,168632,µV,34.916,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289449.6,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:28,10,default,88068563,OXY_CH10,11.735,min,105.814,μmol/L,Humid,25.435,deg,168871,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289440.56,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:29,10,default,88068563,OXY_CH10,11.752,min,105.538,μmol/L,Humid,25.467,deg,169100,µV,34.904,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289440.09,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:30,10,default,88068563,OXY_CH10,11.768,min,105.257,μmol/L,Humid,25.497,deg,169306,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289433.13,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
7/4/19,11:53:31,10,default,88068563,OXY_CH10,11.785,min,104.984,μmol/L,Humid,25.529,deg,169540,µV,34.91,°C,1017,hPa,36.5,pmil,0,55.56,deg,20,°C,100,%a.s.,22.34,deg,20,°C,962,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,31.5,0,54.1,289439.39,SABD0002000014,AAV2.0.0.13,3.0.1.1413,PSt7-10,180509-029,6/18/19 6:13,0000-00,0,no battery,V
