fragment.ID.full,fragment.ID,species,genotype,chamber.channel,run,temp.Cat,start.time,stop.time,light_dark
PA20_PI_0_O2,PA20,P. acuta,20,7,0,26.8,1:04:00 PM,1:19:00 PM,light
PA23_PI_0_O2,PA23,P. acuta,23,2,0,26.8,1:04:00 PM,1:19:00 PM,light
PA24_PI_0_O2,PA24,P. acuta,24,1,0,26.8,1:04:00 PM,1:19:00 PM,light
PA25_PI_0_O2,PA25,P. acuta,25,9,0,26.8,1:04:00 PM,1:19:00 PM,light
PA29_PI_0_O2,PA29,P. acuta,29,3,0,26.8,1:04:00 PM,1:19:00 PM,light
PA30_PI_0_O2,PA30,P. acuta,30,6,0,26.8,1:04:00 PM,1:19:00 PM,light
PA33_PI_0_O2,PA33,P. acuta,33,4,0,26.8,1:04:00 PM,1:19:00 PM,light
PA34_PI_0_O2,PA34,P. acuta,34,5,0,26.8,1:04:00 PM,1:19:00 PM,light
BLANK1_PI_0_O2,BLANK1,P. acuta,BLANK,10,0,26.8,1:04:00 PM,1:19:00 PM,light
BLANK2_PI_0_O2,BLANK2,P. acuta,BLANK,8,0,26.8,1:04:00 PM,1:19:00 PM,light
PA20_PI_61_O2,PA20,P. acuta,20,7,61,26.8,1:37:00 PM,1:52:00 PM,light
PA23_PI_61_O2,PA23,P. acuta,23,2,61,26.8,1:37:00 PM,1:52:00 PM,light
PA24_PI_61_O2,PA24,P. acuta,24,1,61,26.8,1:37:00 PM,1:52:00 PM,light
PA25_PI_61_O2,PA25,P. acuta,25,9,61,26.8,1:37:00 PM,1:52:00 PM,light
PA29_PI_61_O2,PA29,P. acuta,29,3,61,26.8,1:37:00 PM,1:52:00 PM,light
PA30_PI_61_O2,PA30,P. acuta,30,6,61,26.8,1:37:00 PM,1:52:00 PM,light
PA33_PI_61_O2,PA33,P. acuta,33,4,61,26.8,1:37:00 PM,1:52:00 PM,light
PA34_PI_61_O2,PA34,P. acuta,34,5,61,26.8,1:37:00 PM,1:52:00 PM,light
BLANK1_PI_61_O2,BLANK1,P. acuta,BLANK,10,61,26.8,1:37:00 PM,1:52:00 PM,light
BLANK2_PI_61_O2,BLANK2,P. acuta,BLANK,8,61,26.8,1:37:00 PM,1:52:00 PM,light
PA20_PI_76_O2,PA20,P. acuta,20,7,76,26.8,2:02:00 PM,2:20:00 PM,light
PA23_PI_76_O2,PA23,P. acuta,23,2,76,26.8,2:02:00 PM,2:20:00 PM,light
PA24_PI_76_O2,PA24,P. acuta,24,1,76,26.8,2:02:00 PM,2:20:00 PM,light
PA25_PI_76_O2,PA25,P. acuta,25,9,76,26.8,2:02:00 PM,2:20:00 PM,light
