fragment.ID,treatment,surf.area.cm2,volume
PA20,low,86.79012346,610
PA23,low,80.34567901,595
PA24,low,56.86419753,615
PA25,low,78.79012346,610
PA29,high,73.72839506,600
PA30,high,72.91358025,605
PA33,high,69.58024691,610
PA34,high,55.85185185,600
BLANK1,BLANK,,650
BLANK2,BLANK,,650
